pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,sy_dist
"TOI-1994 b","TOI-1994","Transit",2024,4.03371420000,13.67495645,7024.00779470,515.60300000
"TOI-2019 b","TOI-2019","Transit",2024,15.34440000000,5.33275337,34.40000000,198.00700000
"TOI-2088 b","TOI-2088","Transit",2024,124.72997000000,3.68311790,37.00000000,126.46000000
"TOI-2107 b","TOI-2107","Transit",2024,2.45454670000,13.57407563,263.79757781,236.70500000
"TOI-2120 b","TOI-2120","Transit",2024,5.79981640000,2.12200000,6.80000000,32.17550000
"TOI-2128 b","TOI-2128","Transit",2024,16.34136000000,2.08874836,4.50000000,36.57800000
"TOI-2295 b","TOI-2295","Transit",2024,30.03330200000,16.47720163,278.09985612,126.27900000
"TOI-2368 b","TOI-2368","Transit",2024,5.17500730000,10.83908434,206.58846455,210.91500000
"TOI-2374 b","TOI-2374","Transit",2024,4.31361930000,7.48759911,61.65871096,134.65500000
"TOI-2379 b","TOI-2379","Transit",2024,5.46938270000,11.72459381,1830.69162432,211.24700000
"TOI-2384 b","TOI-2384","Transit",2024,2.13570304000,11.48920522,624.85064816,191.51000000
"TOI-2420 b","TOI-2420","Transit",2024,5.84264100000,15.02003414,294.62693329,435.17400000
"TOI-2447 b","TOI-2447","Transit",2024,69.33684000000,9.60609646,124.90656395,148.98700000
"TOI-2458 b","TOI-2458","Transit",2024,3.73659000000,2.83000000,13.31000000,112.95800000
"TOI-2485 b","TOI-2485","Transit",2024,11.23479000000,12.13932610,766.60211768,397.95300000
"TOI-2529 b","TOI-2529","Transit",2024,64.59490000000,11.54525012,743.71847238,296.27100000
"TOI-1199 b","TOI-1199","Transit",2024,3.67146300000,10.51402390,75.96098927,248.42700000
"TOI-1248 b","TOI-1248","Transit",2024,4.36015610000,6.80848590,27.40000000,168.73500000
"TOI-1249 b","TOI-1249","Transit",2024,13.07915100000,3.27103010,11.90000000,139.49000000
"TOI-1269 b","TOI-1269","Transit",2024,4.25299130000,2.40144286,6.40000000,172.13800000
"TOI-1273 b","TOI-1273","Transit",2024,4.63129600000,11.09689089,70.55790635,177.11800000
"TOI-1279 b","TOI-1279","Transit",2024,9.61419000000,2.66146528,10.60000000,107.05500000
"TOI-1294 b","TOI-1294","Transit",2024,3.91529200000,10.12369881,63.90000000,332.64800000
"TOI-1295 b","TOI-1295","Transit",2024,3.19688380000,15.69257298,451.31633794,388.22700000
"TOI-1347 b","TOI-1347","Transit",2024,0.84742346000,1.80000000,11.10000000,147.47600000
"TOI-1347 c","TOI-1347","Transit",2024,4.84196200000,1.60000000,6.40000000,147.47600000
"TOI-1386 b","TOI-1386","Transit",2024,25.84010000000,6.21638650,45.80000000,146.85800000
"TOI-1410.01","TOI-1410","Transit",2024,1.21687000000,3.10083009,12.50000000,72.75120000
"TOI-1437 b","TOI-1437","Transit",2024,18.84094200000,2.24000000,9.60000000,103.29700000
"TOI-1439 b","TOI-1439","Transit",2024,27.64400000000,4.24278610,38.50000000,230.30600000
"TOI-1443 b","TOI-1443","Transit",2024,23.54067800000,2.30381001,30.00000000,85.80340000
"TOI-1448 b","TOI-1448","Transit",2024,8.11224500000,2.74900000,19.50000000,73.33450000
"TOI-1450 A b","TOI-1450 A","Transit",2024,2.04392740000,1.13000000,1.25800000,22.44670000
"TOI-1451 b","TOI-1451","Transit",2024,16.53794400000,2.61143902,15.20000000,91.93620000
"TOI-1472 b","TOI-1472","Transit",2024,6.36338574000,4.05800000,18.05000000,121.84000000
"TOI-1669 c","TOI-1669","Transit",2024,2.68005350000,2.29639770,13.00000000,111.27600000
"TOI-1742 b","TOI-1742","Transit",2024,21.26908400000,2.36507598,9.70000000,72.88710000
"TOI-1751 b","TOI-1751","Transit",2024,37.46852000000,2.95078450,19.50000000,113.33500000
"TOI-1753 b","TOI-1753","Transit",2024,5.38461040000,2.47852533,16.60000000,226.67100000
"TOI-1775 b","TOI-1775","Transit",2024,10.24055490000,8.04728896,96.00000000,149.23400000
"TOI-1776 b","TOI-1776","Transit",2024,2.79986800000,1.21612741,1.40000000,44.64700000
"HD 77946 b","HD 77946","Transit",2024,6.52736300000,2.89646124,10.90000000,99.45100000
"TOI-1794 b","TOI-1794","Transit",2024,8.76552800000,3.29701268,8.70000000,155.79100000
"TOI-1823 b","TOI-1823","Transit",2024,38.80000000000,7.54062410,67.40000000,71.64560000
"TOI-238 b","TOI-238","Transit",2024,1.27309900000,1.55900000,3.37000000,80.54070000
"TOI-260 b","TOI-260","Transit",2024,13.47585300000,1.71000000,4.23000000,20.18520000
"TOI-286 b","TOI-286","Transit",2024,4.51172440000,1.42000000,4.53000000,59.22930000
"TOI-286 c","TOI-286","Transit",2024,39.36182600000,1.88000000,3.72000000,59.22930000
"TOI-329 b","TOI-329","Transit",2024,5.70439000000,4.94057819,40.40000000,284.38800000
"TOI-406.01","TOI-406","Transit",2024,13.17568200000,2.08000000,6.57000000,31.05970000
"TOI-406 c","TOI-406","Transit",2024,3.30744100000,1.32000000,2.08000000,31.05970000
"TOI-480 b","TOI-480","Transit",2024,6.86619600000,2.85372018,20.80000000,54.53060000
"TOI-654.01","TOI-654","Transit",2024,1.52756100000,2.37800000,8.71000000,57.75530000
"TOI-663 b","TOI-663","Transit",2024,2.59890200000,2.27000000,4.45000000,64.23080000
"TOI-663 c","TOI-663","Transit",2024,4.69555070000,2.26000000,3.65000000,64.23080000
"TOI-663 d","TOI-663","Transit",2024,7.10272680000,1.92000000,5.20000000,64.23080000
"TOI-757 b","TOI-757","Transit",2024,17.46819000000,2.50000000,10.50000000,60.34180000
"TOI-762 A b","TOI-762 A","Transit",2024,3.47168260000,8.33948164,79.77493016,98.44580000
"TOI-771 b","TOI-771","Transit",2024,2.32601550000,1.36000000,2.47000000,25.27880000
"TOI-782 b","TOI-782","Transit",2024,8.02400150000,2.73400000,19.10000000,52.51220000
"TOI-815 b","TOI-815","Transit",2024,11.19725900000,2.94000000,7.60000000,59.71170000
"TOI-1135 b","TOI-1135","Transit",2024,8.02773270000,9.91994792,58.79825529,114.04800000
"TOI-1173 b","TOI-1173","Transit",2024,7.06466000000,9.19000000,27.40000000,132.35300000
"HD 73344 b","HD 73344","Transit",2024,15.61100000000,2.88400000,10.48000000,35.26000000
"K2-419 A b","K2-419 A","Transit",2024,20.35847252000,10.55000000,196.00000000,268.68500000
"TOI-6383 A b","TOI-6383 A","Transit",2024,1.79058695000,11.29000000,331.00000000,171.31900000
"NGTS-33 b","NGTS-33","Transit",2024,2.82797200000,18.38272835,1153.71711741,437.85500000
"TOI-6651 b","TOI-6651","Transit",2024,5.05697300000,5.09000000,61.00000000,212.12800000
"TIC 393818343 b","TIC 393818343","Transit",2024,16.24921000000,12.18416202,1379.37528638,93.73450000
"TOI-238 c","TOI-238","Radial Velocity",2024,8.46565100000,2.18000000,6.70000000,80.54070000
"TIC 139270665 b","TIC 139270665","Transit",2024,23.62400000000,7.22979255,147.15455244,189.87500000
"NGTS-26 b","NGTS-26","Transit",2024,4.51992790000,14.88552637,92.80589484,1093.69000000
"TIC 365102760 b","TIC 365102760","Transit",2024,4.21285367000,6.21000000,19.20000000,555.54600000
"TIC 241249530 b","TIC 241249530","Transit",2024,165.77190000000,13.29385111,1582.78546686,324.44800000
"TIC 46432937 b","TIC 46432937","Transit",2024,1.44044527000,13.31626907,1017.05090240,90.53690000
"TOI-1408 c","TOI-1408","Transit Timing Variations",2024,2.16640000000,2.22000000,7.60000000,139.48400000
"TIC 4672985 b","TIC 4672985","Transit",2024,69.04800000000,11.50041420,4049.13390518,253.38500000
"HD 21520 b","HD 21520","Transit",2024,25.12920000000,2.69700000,17.70000000,79.20800000
"TOI-5301 b","TOI-5301","Transit",2024,5.85885800000,13.09208946,1182.32167404,629.16100000
"TOI-5388.01","TOI-5388","Transit",2024,2.59467480000,0.99000000,2.20000000,18.52260000
"TOI-5616 b","TOI-5616","Transit",2024,2.00284900000,10.78000000,624.00000000,390.41500000
"TOI-5634 A b","TOI-5634 A","Transit",2024,2.20353730000,10.42000000,588.00000000,306.14400000
"TOI-5688 A b","TOI-5688 A","Transit",2024,2.94815527000,10.30000000,124.00000000,226.31800000
"TOI-5720 b","TOI-5720","Transit",2024,1.43445550000,1.09000000,4.30000000,35.82560000
"Wolf 327 b","Wolf 327","Transit",2024,0.57347450000,1.24000000,2.53000000,28.53210000
"TOI-6008 b","TOI-6008","Transit",2024,0.85743470000,1.03000000,4.00000000,23.10080000
"TOI-6016 b","TOI-6016","Transit",2024,4.02368700000,13.67495645,371.85923619,364.71500000
"TOI-6029 b","TOI-6029","Transit",2024,5.79870000000,14.39233122,519.64944544,603.11900000
"TOI-6034 b","TOI-6034","Transit",2024,2.57618400000,11.92000000,254.00000000,117.99200000
